T6_Z2
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1731551877;45.85;18.15;2998
1731552177;45.87;18.13;2998
1731552477;45.89;18.14;2998
1731552778;45.89;18.15;2999
1731553078;45.87;18.17;2999
1731553378;45.86;18.19;2999
1731553679;45.84;18.19;2999
1731553979;45.85;18.2;2999
1731554280;45.86;18.21;2999
1731554580;45.86;18.21;3000
1731554880;45.88;18.21;3000
1731555181;45.88;18.22;3000
1731555481;45.9;18.21;3000
1731555782;45.92;18.22;3001
1731556082;45.94;18.22;3001
1731556382;45.95;18.22;3001
1731556683;45.98;18.2;3001
1731556983;45.98;18.19;3002
1731557283;45.18;18.62;3002
1731557584;43.31;19.74;3002
1731557884;41.13;21.3;3001
1731558184;39.01;23.06;3001
1731558485;37.05;24.76;3000
1731558785;35.33;26.39;2999
1731559083;33.84;27.93;2998
1731559386;32.54;29.37;2996
1731559686;31.41;30.71;2995
1731559984;30.42;31.92;2993
1731560287;29.58;33;2991
1731560587;28.83;33.97;2989
1731560888;28.18;34.76;2987
1731561188;27.61;35.47;2985
1731561486;27.11;36.1;2983
1731561789;26.66;36.76;2981
1731562089;26.26;37.38;2980
1731562390;25.91;37.97;2979
1731562690;25.61;38.5;2977
1731562990;25.31;39.03;2976
1731563291;25.07;39.5;2975
1731563591;24.82;39.93;2974
1731563892;24.62;40.34;2973
1731564192;24.43;40.74;2972
1731564492;24.24;41.11;2971
1731564793;24.09;41.46;2970
1731565093;23.93;41.79;2969
1731565393;23.79;42.12;2968
1731565691;23.69;42.42;2968
1731565994;23.56;42.67;2967
1731566295;23.44;42.92;2966
1731566595;23.34;43.18;2966
1731566895;23.24;43.39;2965
1731567196;23.15;43.59;2965
1731567496;23.07;43.78;2964
1731567796;22.97;45.56;2963
1731568097;22.85;46.83;2963
1731568395;22.76;46.79;2963
1731568698;22.7;46.81;2962
1731568998;22.68;46.41;2962
1731569296;22.63;46.02;2961
1731569596;22.92;46.36;2961
1731569899;27.95;39.48;2961
1731570199;33.47;31.07;2963
1731570500;38.44;25.23;2966
1731570800;41.72;21.96;2970
1731571100;42.01;21.55;2974
1731571401;40.64;22.54;2978
1731571701;38.76;24.03;2982
1731572002;36.82;25.66;2985
1731572302;35.02;27.37;2988
1731572602;33.42;28.98;2989
1731572903;32.02;30.5;2990
1731573203;30.8;31.88;2988
1731573501;29.77;33.1;2986
1731573804;28.86;34.22;2984
1731574104;28.07;35.22;2983
1731574405;27.39;36.13;2981
1731574705;26.79;36.98;2979
1731575003;26.28;38.08;2977
1731575306;25.85;38.93;2975
1731575604;25.44;38.91;2973
1731575907;25.07;39.54;2971
1731576207;24.73;40.04;2970
1731576505;24.45;40.25;2969
1731576808;24.15;42.18;2968
1731577108;23.86;44.55;2966
1731577406;23.64;45.37;2965
1731577709;26.47;41.06;2965
1731578009;31.68;32.3;2965
1731578310;36.5;26.06;2967
1731578610;40.53;21.77;2969
1731578910;42.56;20.15;2973
1731579211;41.88;20.66;2976
1731579511;40.16;22.06;2979
1731579811;38.22;23.81;2982
1731580112;36.32;24.21;2985
1731580412;34.57;26.91;2987
1731580713;33.05;28.07;2988
1731581013;31.73;30.41;2987
1731581313;30.6;32.25;2986
1731581614;29.62;33.78;2985
1731581914;28.77;35.11;2983
1731582214;28.03;36.33;2980
1731582515;27.39;37.5;2978
1731582815;26.81;38.57;2976
1731583116;26.32;39.44;2975
1731583413;25.87;40.26;2973
1731583716;25.49;43.2;2972
1731584017;25.13;44.49;2970
1731584317;24.79;44.28;2969
1731584617;24.51;44.53;2967
1731584918;24.24;44.46;2966
1731585216;24.01;44.56;2965
1731585519;23.79;44.75;2964
1731585819;23.62;45.14;2963
1731586117;23.43;45.35;2962
1731586420;23.26;45.69;2961
1731586720;23.12;46.02;2960
1731587020;23.01;46.42;2960
1731587321;24.71;44.79;2960
1731587621;28.94;37.85;2960
1731587922;33.09;31.7;2962
1731588222;37.31;26.5;2964
1731588522;39.68;23.88;2967
1731588823;39.47;23.94;2970
1731589123;38.15;25.04;2973
1731589424;36.46;26.58;2977
1731589724;34.77;28.24;2980
1731590024;33.22;29.88;2982
1731590325;31.84;31.15;2983
1731590625;30.64;32.87;2982
1731590925;29.59;34.21;2981
1731591226;28.74;35.57;2980
1731591524;28.19;36.38;2978
1731591827;27.66;36.82;2976
1731592127;27.15;35.88;2974
1731592427;26.68;38.39;2972
1731592725;26.25;39.82;2970
1731593028;25.85;40.83;2969
1731593329;25.48;41.7;2968
1731593626;25.16;42.43;2966
1731593929;24.84;43.11;2965
1731594230;25.77;43.12;2964
1731594530;30.69;35.9;2964
1731594830;36.09;28.72;2965
1731595131;41.06;23.49;2967
1731595431;44.68;20.38;2970
1731595731;45.85;19.47;2973
1731596032;44.8;19.97;2976
1731596332;42.8;21.14;2980
1731596633;40.59;22.72;2983
1731596933;38.49;24.3;2986
1731597233;36.55;25.79;2987
1731597534;34.86;27.29;2988
1731597832;33.38;29.29;2987
1731598134;32.08;31.2;2986
1731598432;30.94;32.52;2984
1731598735;29.95;33.89;2982
1731599033;29.07;35.03;2980
1731599336;28.31;35.87;2978
1731599636;27.64;36.91;2976
1731599937;27.03;37.68;2974
1731600237;26.52;38.33;2972
1731600537;26.05;38.89;2971
1731600838;25.91;39.51;2970
1731601138;29.4;35.61;2969
1731601439;34.68;28.76;2969
1731601739;39.78;23.39;2970
1731602039;43.87;19.92;2972
1731602340;46.18;18.34;2975
1731602640;46.16;18.08;2977
1731602940;44.5;18.74;2980
1731603241;42.3;19.85;2983
1731603541;40.03;21.29;2986
1731603842;37.92;22.76;2988
1731604139;36.03;24.44;2989
1731604440;34.39;26.24;2989
1731604743;32.96;27.91;2987
1731605043;31.71;29.37;2986
1731605343;30.62;30.92;2985
1731605644;29.68;32.46;2983
1731605944;28.87;33.8;2981
1731606245;28.16;35.08;2979
1731606545;27.52;36.21;2977
1731606845;26.96;37.04;2975
1731607146;26.47;38.34;2973
1731607446;26.05;39.32;2971
1731607746;25.67;40.23;2970
1731608044;25.33;41.09;2969
1731608347;25.03;41.83;2967
1731608648;24.74;42.51;2966
